Date,KSSMB,KQSMB,KSHML,KQHML,KSMMT,KQMMT
2016-07-14,0.0005,0.0033,-0.00305,0.004375,0.007902154,-0.002442841
2016-07-15,0.00445,0.00305,-0.003,-0.001275,-0.005570271,-0.007596906
2016-07-18,-0.00245,0.00825,-0.00224,-0.00065,0.004757587,-0.007322897
2016-07-19,-0.0019,-0.00095,0.000943333,0.005,0.015509845,-0.010749029
2016-07-20,0.0025,-0.0049,0.006736667,0.003075,0.013855546,-0.002023249
2016-07-21,-0.00105,-0.00535,0.00065,0.008075,-0.002886568,0.019912233
2016-07-22,-0.0009,0.00755,-0.00629,-0.0092,0.019514666,0.00771429
2016-07-25,-0.0013,0.00275,-0.015673333,-0.00785,-0.007021338,0.005843006
2016-07-26,0.00335,0.0018,0.004553333,0.005425,0.015019834,-0.001773898
2016-07-27,0.0037,0.00295,-0.00372,-0.007375,-0.020732245,0.006534263
2016-07-28,-0.0041,0.0018,0.000226667,0.000975,-0.002386517,0.001163061
2016-07-29,-0.00215,-0.0018,0.0037,0.004725,0.001279135,-0.003510327
2016-08-01,0.0065,0.0128,-0.006543333,-0.005575,-0.006762051,-0.02140249
2016-08-02,-0.0067,0.003,-0.001783333,-0.004975,0.012264899,0.000296765
2016-08-03,-0.0036,-0.0036,0.00576,-0.0036,0.014863057,-0.004556188
2016-08-04,-0.0008,0.00205,0.013033333,0.00055,0.004040847,0.000462353
2016-08-05,0.0104,0.00695,-0.000493333,-0.006025,-0.020966148,-0.00277955
2016-08-08,0.00765,-0.0067,0.003773333,0.00435,0.022347042,-0.002416044
2016-08-09,0.00365,-0.0061,-0.006013333,0.00645,-0.008519406,0.006337335
2016-08-10,-0.0004,-0.0142,0.00225,0.00775,0.01658948,0.023164658
2016-08-11,0.0022,0.00115,0.008296667,-0.0075,-0.01088846,0.021548277
2016-08-12,-0.00395,0.0049,0.00285,-0.00365,0.011362092,-0.003668721
2016-08-16,-0.00065,-0.0041,-0.006916667,-0.00075,0.005854658,-0.01410192
2016-08-17,0.00305,0.00035,-0.000436667,-0.00145,-0.002946627,0.021993313
2016-08-18,0.0027,0.00655,0.006446667,0.0052,-0.005048963,-0.00461352
2016-08-19,-0.0019,0.00695,0.00743,-0.0007,-0.019913605,0.001955181
2016-08-22,0.00315,0.0045,0.000716667,-0.003125,0.003034304,-0.012560197
2016-08-23,0.00225,0.00185,0.003666667,0.00745,0.001081489,-0.002776041
2016-08-24,0.00035,-0.00235,-0.001516667,-0.002025,0.00186084,0.011346791
2016-08-25,0.0012,0.0003,-0.01506,0.004375,-0.012320078,-0.010261567
2016-08-26,0.00125,-0.0019,-0.005816667,-0.010025,0.006523307,-0.002580852
