FuturesID,Name,Market,SpotName,SpotCode,Ticker
KRDRVFUSEL,파생 선물 후성,KOSPI,후성,KR7093370005,A093370
KRDRVFUSEM,파생 선물 RFHIC,KOSDAQ,RFHIC,KR7218410009,A218410
KRDRVFUSEN,파생 선물 동진쎄미켐,KOSDAQ,동진쎄미켐,KR7005290002,A005290
KRDRVFUSEP,파생 선물 네패스,KOSDAQ,네패스,KR7033640004,A033640
KRDRVFUSEQ,파생 선물 비에이치,KOSDAQ,비에이치,KR7090460007,A090460
KRDRVFUSER,파생 선물 DL이앤씨,KOSPI,DL이앤씨,KR7375500006,A375500
KRDRVFUSES,파생 선물 삼성바이오로직스,KOSPI,삼성바이오로직스,KR7207940008,A207940
KRDRVFUSET,파생 선물 삼성엔지니어링,KOSPI,삼성엔지니어링,KR7028050003,A028050
KRDRVFUSEV,파생 선물 한화시스템,KOSPI,한화시스템,KR7272210006,A272210
KRDRVFUSEW,파생 선물 보령제약,KOSPI,보령제약,KR7003850005,A003850
KRDRVFUSEX,파생 선물 카카오게임즈,KOSDAQ,카카오게임즈,KR7293490009,A293490
KRDRVFUSEY,파생 선물 에코프로비엠,KOSDAQ,에코프로비엠,KR7247540008,A247540
KRDRVFUSEZ,파생 선물 스튜디오드래곤,KOSDAQ,스튜디오드래곤,KR7253450001,A253450
KRDRVFUSF0,파생 선물 천보,KOSDAQ,천보,KR7278280003,A278280
KRDRVFUSF1,파생 선물 콜마비앤에이치,KOSDAQ,콜마비앤에이치,KR7200130003,A200130
KRDRVFUSF2,파생 선물 SFA반도체,KOSDAQ,SFA반도체,KR7036540003,A036540
KRDRVFUSF3,파생 선물 NHN한국사이버결제,KOSDAQ,NHN한국사이버결제,KR7060250008,A060250
KRDRVFUSF4,파생 선물 삼천당제약,KOSDAQ,삼천당제약,KR7000250001,A000250
